Gene Symbol,Gene ID,Interaction Count,Organism Count
RNF43,54894,2,1
ROBO1,6091,2,1
ROCK2,9475,2,2
RPS6,6194,2,2
RPS6KA1,6195,2,1
RPS6KA5,9252,2,1
RUVBL1,8607,2,1
SAFB2,9667,2,1
SAP18,10284,2,1
SAT1,6303,2,1
SCARB1,949,2,1
SCNN1G,6340,2,1
SELENBP1,8991,2,2
SERPINB1,1992,2,1
SERTAD1,29950,2,1
SHPRH,257218,2,1
SIN3A,25942,2,1
SKP2,6502,2,1
SLC12A2,6558,2,1
SLC12A4,6560,2,1
SLC16A1,6566,2,2
SLC16A3,9123,2,2
SLC16A4,9122,2,1
SLC22A3,6581,2,2
SLC22A4,6583,2,1
SLC23A1,9963,2,1
SLC27A5,10998,2,2
SLC2A8,29988,2,1
SLC4A11,83959,2,2
SLC7A11,23657,2,1
SLC7A9,11136,2,1
SLCO1B3,28234,2,1
SMAD7,4092,2,2
SMC3,9126,2,1
SMPD1,6609,2,1
SMTN,6525,2,1
SNAI2,6591,2,2
SNTB1,6641,2,1
SOD3,6649,2,1
SOS1,6654,2,1
SPATA18,132671,2,1
SPTBN1,6711,2,1
SRRM1,10250,2,2
SRRM2,23524,2,1
ST13,6767,2,1
STK11,6794,2,1
STK26,51765,2,1
SUCLG2,8801,2,2
SULT1E1,6783,2,1
TBC1D1,23216,2,1
TBXA2R,6915,2,1
TCF7,6932,2,1
TDRD3,81550,2,1
TF,7018,2,1
TFB1M,51106,2,1
TFPI2,7980,2,2
TG,7038,2,1
TGFBR2,7048,2,1
TGIF2,60436,2,1
TJP2,9414,2,1
TKT,7086,2,2
TM4SF1,4071,2,1
TMBIM4,51643,2,1
TMEM41B,440026,2,1
TMEM45A,55076,2,1
TNFRSF11A,8792,2,2
TNFRSF1B,7133,2,1
TNFRSF9,3604,2,1
TNNC1,7134,2,1
TNP1,7141,2,1
TOP2A,7153,2,2
TP53INP1,94241,2,1
TP73,7161,2,1
TPI1,7167,2,1
TPM1,7168,2,2
TPO,7173,2,1
TRADD,8717,2,2
TRAF1,7185,2,1
TRIP12,9320,2,1
TRPV1,7442,2,1
TRPV6,55503,2,1
TSC2,7249,2,1
TSHR,7253,2,1
TUBA1A,7846,2,2
TUFM,7284,2,1
TWIST1,7291,2,2
