## Torsion are defined with the following atomIDs:
# dihed1: ai= 4079 aj= 2050 ak= 2061 al= 2065
# dihed2: ai= 2062 aj= 2063 ak= 2052 al= 4080
# dihed3: ai= 2048 aj= 2057 ak= 2058 al= 2064
# dihed4: ai= 2060 aj= 2059 ak= 2049 al= 4078
# dihed5: ai= 2069 aj= 2067 ak= 2053 al= 4081
# dihed6: ai= 2067 aj= 2069 ak= 2054 al= 4082
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
303  175.984  -28.726   47.238   -2.270   19.484  176.927
304 -175.544  -18.109   39.405  -23.237   11.302 -134.594
305 -179.210    5.046   35.036  -25.450  -29.456 -170.795
306  166.824   -9.833   58.868   -1.059  -18.141 -173.628
307  177.322  -46.827   36.577   -3.615   -4.121 -172.814
308  179.754  -11.492   49.996   -2.698  -38.519  144.832
309  176.666  -12.617   51.248    3.328    3.934 -166.497
310  177.360  -14.315   49.078  -21.363   15.299 -172.067
311  177.814   -7.424   38.832   -6.167    1.532  171.274
312 -179.147  -17.793   46.416   -2.760   19.656  175.977
313 -174.343    3.116   52.484    7.196   67.707 -165.098
314 -179.686   24.507   44.922    2.314    6.682  167.591
315  169.128  -27.983   55.030    6.960   14.054 -177.111
316  174.014  -22.849   36.005   -5.261  -10.312  176.986
317 -178.865  -21.498   50.856  -15.908    4.129 -179.151
318 -159.247   -5.200   39.313    2.364   -0.133  164.123
319  170.113  -23.975   60.799  -25.690  -19.527  164.828
320 -175.183  -26.544   52.271    1.629   20.028  172.128
321 -157.882  -12.948   49.180   11.699    5.993  168.026
322 -172.174  -22.774   36.618   -2.387    8.551  165.342
323 -176.773  -28.346   56.462   -2.424    2.421  178.688
324 -174.858  -14.332   58.145   -3.316  172.215  178.207
325 -175.710  -22.548   52.155   16.953 -149.192  174.395
326  179.615  -24.258   51.879    3.485  176.604  170.931
327  173.768    0.253   44.852    3.803    5.472  171.726
328  178.004   10.592   60.097    1.541    1.205  157.412
329 -176.909  -50.042   67.782   -1.778   13.193  145.216
330  156.740  -49.730   48.709    5.300   30.145  177.877
331  173.392  -31.376   52.267   -0.206   42.812  166.947
332  177.938  -17.028   46.879    0.402   12.207 -172.720
333 -167.365    1.837   53.307   25.493   23.317  179.330
334 -175.340  -14.539   40.325   13.446    5.834  178.082
335  178.801   -7.593   25.096  -11.659  -11.249 -167.795
336 -179.173   -8.976   62.401   11.960   -3.364  177.716
337 -173.015   -5.795   53.880   13.288   14.340  145.561
338 -171.059  -14.625   54.218    7.497   11.474 -179.584
339  175.026  -18.236   49.357  -12.461   18.364  176.319
340  179.974   -3.801   45.561  -17.975   -8.830  171.566
341 -173.267   -3.555   37.673   -9.910  -21.953  176.739
342 -177.351   14.194   47.468   21.946    8.053  179.277
343 -169.082    1.553   48.271    2.636   -8.373  162.541
344  166.824    8.850   32.001    0.830  -10.322  158.515
345  159.475  -31.402   49.090    0.951   13.548  154.695
346 -171.531    7.975   56.135    7.293  -28.574  168.449
347 -164.371   -2.136   43.188   14.775  -13.291 -164.661
348  174.687  -11.257   37.882    5.009  -14.228 -159.611
349  175.800  -15.913   60.046   15.611  -19.826  170.432
350 -165.089   -9.851   32.201   -4.054    9.039 -178.874
351 -179.920  -11.994   49.382   -8.794   17.007  173.264
352 -177.030   10.320   45.645   -7.941  -16.051  171.526
353 -175.320  -25.580   49.201  -14.379   15.373  169.757
354 -170.993  -13.435   55.937   -7.378    9.866  169.394
355  171.156   -4.557   46.717    8.872   41.181  174.055
356  170.973    7.281   52.724  -24.845  -14.851  166.201
357 -171.870    1.617   45.741   13.715   38.050 -179.103
358 -175.513   10.774   34.407   -1.463    1.486  154.210
359 -164.661  -22.642   58.813   -1.570   13.426  177.892
360 -159.466   -0.557   48.745   -2.341  -33.077  160.909
361  163.575    0.624   51.970   10.454   30.632 -178.752
362 -178.232   -1.277   51.522   -2.265   12.312 -179.692
363 -177.891   21.559   33.156   12.905    6.513  175.699
364 -172.328   -8.354   54.596  -10.707   30.738 -157.795
365 -165.910  -10.966   50.856    5.308    4.224 -175.032
366  168.000  -12.216   54.188    0.307   24.415  143.086
367  178.737  -39.161   38.548   -9.150   15.811  167.526
368 -168.524  -33.334   57.042    6.053   21.330  170.534
369 -167.924  -24.573   39.408   -7.573   12.792  173.920
370 -176.937  -23.237   37.182   -4.088  -12.070  162.072
371 -174.371  -41.273   29.438   -0.519   21.049  148.231
372  167.103  -10.374   41.537    8.327  -15.124  146.468
373 -168.399  -28.718   40.517   -1.747  -12.093  178.623
374  176.113  -25.834   37.280  -10.326   28.103  169.813
375 -163.091  -38.341   54.833   17.895   21.334  178.523
376  179.722  -24.671   43.245    3.955   18.078  174.537
377  178.168  -28.793   34.221    8.520   11.971  175.619
378  179.585  -25.589   41.568   15.545   -3.080  170.549
379 -168.636   -4.565   59.009  -16.305  -22.248  169.815
