  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      395        0.346        3.733            1      253.646      107.876      276.533
      396        0.405        3.716            1      252.597      105.348      273.077
      397        0.334        3.765            1      255.509      114.459      280.446
      398        0.265        3.722            1      252.096       86.835      274.920
      399        0.311        3.691            1      253.503       73.184      277.886
      400        0.297        3.734            1      252.738      107.561      276.524
      401        0.249        3.719            1      253.071       87.769      275.290
      402        0.391        3.766            1      254.673      102.771      278.538
      403        0.444        3.685            1      251.928      104.459      274.431
      404        0.336        3.754            1      252.930      103.134      275.557
      405        0.345        3.755            1      253.550      111.630      274.268
      406        0.312        3.763            1      254.395      104.587      274.847
      407        0.223        3.716            1      252.742      101.308      273.317
      408        0.406        3.734            1      253.495      112.393      278.382
      409        0.384        3.727            1      252.857       82.041      274.587
      410        0.294        3.740            1      253.535      109.641      274.358
      411        0.255        3.747            1      254.020      106.841      274.819
      412        0.336        3.771            1      252.024      103.198      275.693
      413        0.320        3.754            1      255.071      115.235      277.785
      414        0.367        3.689            1      250.291       94.045      272.107
      415        0.350        3.749            1      253.743       89.747      275.743
      416        0.352        3.702            1      252.167       93.676      275.373
      417        0.304        3.707            1      252.218      106.670      272.201
      418        0.416        3.754            1      253.262      100.542      275.046
      419        0.339        3.743            1      252.053      101.637      275.454
      420        0.294        3.747            0      253.534      100.220      275.988
      421        0.311        3.748            1      252.286      101.756      276.099
      422        0.304        3.721            1      252.101      100.068      273.435
      423        0.371        3.762            1      254.550      109.290      278.947
      424        0.320        3.736            1      252.978      100.383      274.030
      425        0.380        3.718            1      252.060       98.061      273.239
      426        0.423        3.768            1      253.829       92.458      274.666
      427        0.385        3.742            1      251.854       84.198      275.718
      428        0.316        3.760            1      254.091       91.352      275.204
      429        0.332        3.763            1      253.780       97.805      274.107
      430        0.217        3.727            1      253.036       85.181      275.300
      431        0.402        3.674            1      249.982       71.786      273.176
      432        0.375        3.700            1      252.321       89.043      277.951
      433        0.296        3.727            1      251.347      112.781      274.283
      434        0.319        3.744            1      253.357      119.250      274.639
      435        0.279        3.753            1      254.624      112.136      275.913
      436        0.313        3.782            1      255.494      112.073      278.737
      437        0.259        3.727            1      253.922      122.243      276.675
      438        0.367        3.777            1      254.289      100.526      277.057
      439        0.318        3.744            1      252.402       92.534      273.605
      440        0.414        3.721            1      252.308      114.760      274.572
      441        0.274        3.734            1      255.396       94.040      280.202
      442        0.376        3.737            1      253.465      130.891      273.729
      443        0.352        3.714            1      253.826      132.036      277.725
      444        0.327        3.766            1      253.384      126.355      276.026
      445        0.461        3.735            1      253.591      114.797      277.401
      446        0.174        3.728            1      254.114      125.370      277.479
      447        0.240        3.753            1      253.973      119.555      275.585
      448        0.305        3.777            1      254.310      115.452      274.556
      449        0.313        3.722            1      251.378      121.689      269.905
      450        0.316        3.736            1      253.047      114.376      276.469
      451        0.348        3.736            0      254.901      126.887      277.843
      452        0.481        3.739            1      253.390      118.206      275.530
      453        0.284        3.702            1      251.012      109.802      276.527
      454        0.259        3.743            1      253.043      138.466      276.764
      455        0.397        3.709            1      251.935      113.294      274.087
      456        0.372        3.713            1      251.930      101.474      275.876
      457        0.440        3.767            1      253.066       97.081      273.805
      458        0.234        3.719            1      251.941       92.439      272.342
      459        0.282        3.722            1      251.694       98.487      274.665
      460        0.361        3.731            1      251.615      117.175      270.677
      461        0.245        3.686            1      252.190       89.476      275.214
      462        0.334        3.731            1      252.045      113.544      273.846
      463        0.436        3.718            1      252.923      108.875      276.452
      464        0.256        3.771            1      254.972      120.765      278.567
      465        0.279        3.752            1      254.827      108.207      277.030
      466        0.307        3.771            1      253.473      106.513      274.563
      467        0.223        3.748            1      253.815      107.843      277.702
      468        0.393        3.723            1      252.602       93.264      276.201
      469        0.440        3.728            1      254.186      107.425      276.302
      470        0.316        3.741            1      253.852      101.865      274.197
      471        0.359        3.701            1      251.389      100.262      274.207
      472        0.284        3.730            1      254.240      108.246      276.062
      473        0.209        3.724            1      253.498      112.952      274.380
      474        0.378        3.734            1      252.562       96.913      273.597
      475        0.396        3.731            1      251.550      103.932      273.828
      476        0.340        3.729            1      251.980      117.402      273.247
      477        0.383        3.711            1      253.352      140.711      274.033
      478        0.339        3.731            1      252.846      151.872      273.234
      479        0.311        3.738            1      252.567      160.440      274.731
      480        0.403        3.711            1      253.063      177.358      277.504
      481        0.366        3.744            1      251.979      148.164      273.380
      482        0.516        3.698            1      251.640      158.193      276.787
      483        0.343        3.767            1      253.775      154.941      273.842
      484        0.442        3.725            1      250.304      147.944      270.575
      485        0.318        3.743            1      255.929      167.271      279.357
      486        0.349        3.781            1      252.126      146.051      270.969
      487        0.435        3.740            1      251.753      136.264      273.044
      488        0.536        3.740            1      252.872      139.175      272.509
      489        0.283        3.759            1      253.923      121.253      277.549
      490        0.346        3.715            1      249.514      140.659      271.830
      491        0.496        3.716            1      251.766      135.990      272.750
      492        1.144        3.723            1      251.521      145.989      274.884
